Project Name,Assignee,Deliverable Checklist,Developer/Sales,KYC,Notes,Onboarding Status,Project Status,Release Date,Services,Units
Cite Nature | ELAD Canada,,,,,,Released,Released,27-Mar-20,,
Rennie - Century City,Roell Pereira,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: 
Province: British Columbia
# of Homes: 407
Deal Owner: Sandor Segal
Account Manager: Malinka
Initial Launch Date: 2023-06-30
Development Proposal Stage: 
Sales/Marketing Company: Rennie Marketing

Contact Details
Onboarding Contact: KAterina Wong
First time using Avesdo? No
Customer Type: Sales/Marketing Company
Is onboarding contact new to Avesdo? No - Existing customer (familiar with full platform)

Set-Up Details
Trust Account Required: No
Selling in phases? no
Unit Breakout: condo
Project Set-Up: Grid view (Condo Tower)
Setting up Leads? No
Setting up Worksheets? No
If using Worksheets, when does the client want to start using this feature? n/a
Setting up Sales Grid? No
Setting up Contracts? Yes
Setting up Closings? Yes
CRM/Lead Ingestion: salesforce api integration
API/Reporting Requirements: salesforce api integration
Related Projects/Relevant Info: 

Client Goals/Other Information
Competitors, CRMs, other software being used? salesforce api integration
Why Buy/Challenges we are solving: salesforce api integration
What is client's goal from Avesdo? salesforce api integration
Why Avesdo? salesforce api integration
Red Flags/Risks/Potential Roadblocks: 

Test Site set up during Pre-Sales?:

**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: ",,Released,Released,22-Aug-23,,407
Holland Row | PC Urban,,,,"    Onboarding Questionnaire: https://survey.zohopublic.com/zsir/JuBUKJ/rKB3AEQ4
",,Released,Released,10-Jul-20,,
Pivot - River & Sky,Roell Pereira,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: 
Province: Ontario
# of Homes: 254
Deal Owner: Sandor Segal
Account Manager: Malinka
Initial Launch Date: 2023-07-15
Development Proposal Stage: 
Sales/Marketing Company: Pivot Real Estate Group

Contact Details
Onboarding Contact: Phoenix Huynh and Shelly Sou
First time using Avesdo? No
Customer Type: Sales/Marketing Company
Is onboarding contact new to Avesdo? No - Existing customer (familiar with full platform)

Set-Up Details
Trust Account Required: No
Selling in phases? yes
Unit Breakout: single fam
Project Set-Up: Full Architectural Controls with Site Plan (ac rules apply, not pre-sited)
Setting up Leads? No
Setting up Worksheets? No
If using Worksheets, when does the client want to start using this feature? n/a
Setting up Sales Grid? No
Setting up Contracts? Yes
Setting up Closings? Yes
CRM/Lead Ingestion: n/a
API/Reporting Requirements: n/a
Related Projects/Relevant Info: 

Client Goals/Other Information
Competitors, CRMs, other software being used? n/a
Why Buy/Challenges we are solving: single family/ac set up
What is client's goal from Avesdo? single family/ac set up
Why Avesdo? single family/ac set up
Red Flags/Risks/Potential Roadblocks: 

Test Site set up during Pre-Sales?:

**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: ",,Released,Released,14-Jul-23,,254
Diamond Construction - Blue Oak (20 Townhomes),Jason Hudym,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $6,800.00
Province: California
# of Homes: 20
Deal Owner: Sandor Segal
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2024-09-16
Sales/Marketing Company: In-House

Contact Details
Onboarding Contact: Brandon
Onboarding Contact Email: 

Set-Up Details
Credit Cards? TBD
Avesdo Deposits? TBD
Project Set-Up: 
Setting up Leads? Yes
Setting up Worksheets? Yes
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? Yes
CRM/Lead Ingestion: Lasso
API/Reporting Requirements: Lasso

Notes
Other Special Customer-Related Notes: US Client - work with Sandor",,Released,Released,21-Mar-25,,20
Listraor/MLA - York,Roell Pereira,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $0
Province: British Columbia
# of Homes: 29
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2023-09-16
Development Proposal Stage: 
Sales/Marketing Company: MLA

Contact Details
Onboarding Contact: Hayley Lilburn
First time using Avesdo? No
Customer Type: Sales/Marketing Company
Is onboarding contact new to Avesdo? No - Existing customer (familiar with full platform)

Set-Up Details
Trust Account Required: No
Selling in phases? No
Unit Breakout: I think townhomes based on project size, but they didn't tell me
Project Set-Up: Grid view (Townhomes)
Setting up Leads? No
Setting up Worksheets? No
If using Worksheets, when does the client want to start using this feature? N/A
Setting up Sales Grid? No
Setting up Contracts? Yes
Setting up Closings? No
CRM/Lead Ingestion: Hubspot
API/Reporting Requirements: Yes - Chris Miller is contact
Related Projects/Relevant Info: 

Client Goals/Other Information
Competitors, CRMs, other software being used? Hubspot
Why Buy/Challenges we are solving: N/A
What is client's goal from Avesdo? N/A
Why Avesdo? N/A
Red Flags/Risks/Potential Roadblocks: 

Test Site set up during Pre-Sales?:

**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: This is part of MLA's MSA. Unsure if a trust account will be needed for deposits or not.",,Released,Released,14-Sep-23,,29
Mosaic Homes - Moody Yards Commercial lot 1,Jason Hudym,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $4,060.00
Province: British Columbia
# of Homes: 14
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2024-11-01
Sales/Marketing Company: 

Contact Details
Onboarding Contact: Mandeep Brar
Onboarding Contact Email: 

Set-Up Details
Credit Cards? No
Avesdo Deposits? Yes
Project Set-Up: 
Setting up Leads? No
Setting up Worksheets? No
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? Yes
CRM/Lead Ingestion: ?
API/Reporting Requirements: Yes per MSA

Notes
Other Special Customer-Related Notes: This is a small commercial project. They will likely want to pay up front for the additional 10% discount.",,Released,Released,20-Dec-24,,7
Burnaby Lake Ph 2 Bldg C,Roell Pereira,,Create Urban Properties,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $62,000.00
Province: British Columbia
# of Homes: 310
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2027-06-18
Sales/Marketing Company: 

Contact Details
Onboarding Contact: Anita Cheong

Set-Up Details
Credit Cards? No
Avesdo Deposits? Yes
Project Set-Up: 
Setting up Leads? No
Setting up Worksheets? No
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? Yes
CRM/Lead Ingestion: Could be Spark
API/Reporting Requirements: Not that I am aware of

Notes
Other Special Customer-Related Notes: This is the fifth launch of their Master Agreement",,Not started,Not started,18-Jun-27,,310
Park & Lake - Graywood/in2ition,Roell Pereira,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $33,800
Province: Ontario
# of Homes: 160
Deal Owner: Sandor Segal
Account Manager: Malinka
Initial Launch Date: 2024-10-19
Sales/Marketing Company: 

Contact Details
Onboarding Contact: Annie Pham <annie@in2ition.ca> and Carlos <carlos@in2ition.ca>
Onboarding Contact Email: 

Set-Up Details
Credit Cards? TBD
Avesdo Deposits? TBD
Project Set-Up: 
Setting up Leads? TBD
Setting up Worksheets? No
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? Yes
CRM/Lead Ingestion: TBD
API/Reporting Requirements: N/A

Notes
Other Special Customer-Related Notes: This will be an AC site - Friends and Family event launch Oct 19",,Released,Released,01-Nov-24,,160
National Homes | Duo Condos Ph.1,,,,"Product Type: Avesdo TMS Platform
Trust Account Required: No
Deal Value: $0
Initial Launch Date: 2022-09-02
Province: Ontario


KYC Survey:
Deal Owner: Warren Saunders
# of Homes: 404
Initial Launch Date: 2022-09-02
Onboarding Contact: Daniela Palmieri/ will be a new person assigned after Daniela leave Nov.8th
First time using Avesdo? No
Competitors, CRMs, other software being used? Blackline 3D selection tool, National/Baker portal
Current process outside Avesdo? None, existing customer
Major problems we're solving? First time using the full Sales Module and joint sales team between national and Baker.  This is their first high rise project, partnered with Brixen.  Problem being solved is how to ensure a seamless process that brings together multiples partners: Brixen as developer partner, Baker as Sales company using Avesdo platform, Blackline- intergrating with their 3D selection tool
What does success mean for the client? Successful training, onboarding and mastery of the platform in order to maximize sales velocity at launch.
Additional comments: Client is opting not to use the credit card process for this launch.",,Released,Released,25-Jan-22,,404
Sun Towers 2 | Belford Properties,,,,,,Released,Released,21-Feb-19,,
Amacon | McKenzie Mews,,,,"
Project Revenue: $28,800
Subscription Start Date: 
Subscription Fee: 

KYC Survey:
Initial Launch Date: 2021-04-01
Onboarding Contact: Cathy & Tanya
First time using Avesdo? No
Competitors, CRMs, other software being used? N/A
Current process outside Avesdo? Avesdo
Major problems we're solving? Organization  - Amacon will be running this project without MLA
What does success mean for the client? N/A
Additional comments: ",,Released,Released,20-Dec-21,,48
Cressey Projects Corp - CABAN,,,,"Product Type: Avesdo TMS Platform
Trust Account Required: 
Deal Value: $38,735
Initial Launch Date: 2021-08-27


KYC Survey:
Deal Owner: Jake Shatz
Initial Launch Date: 2021-08-27
Onboarding Contact: Sarah Rasheed
First time using Avesdo? No
Competitors, CRMs, other software being used? N/A
Current process outside Avesdo? Avesdo
Major problems we're solving? N/A
What does success mean for the client? N/A
Additional comments: ",,Released,Released,09-Sep-21,,127
Marlin Spring - The Dawes North,Roell Pereira,,,,,Released,Released,24-Jun-22,,259
Cielle Properties - 28 West,Jason Hudym,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: 
Deal Value: $18,000.00
Province: British Columbia
# of Homes: 20
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2024-02-15
Development Proposal Stage: 
Sales/Marketing Company: 

Contact Details
Onboarding Contact: Eric Yang
First time using Avesdo? 
Customer Type: 
Is onboarding contact new to Avesdo? Brand new to Avesdo

Set-Up Details
Trust Account Required: 
Selling in phases? 
Unit Breakout: 
Project Set-Up: 
Setting up Leads? 
Setting up Worksheets? 
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? 
Setting up Contracts? 
Setting up Closings? 
CRM/Lead Ingestion: 
API/Reporting Requirements: 
Related Projects/Relevant Info: 

Client Goals/Other Information
Competitors, CRMs, other software being used? 
Why Buy/Challenges we are solving: 
What is client's goal from Avesdo? 
Why Avesdo? 
Red Flags/Risks/Potential Roadblocks: 

Test Site set up during Pre-Sales?:

**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: ",,Released,Released,18-Mar-24,,20
Epic Real Estate & Dominium - Zara,,,,"Product Type: Avesdo TMS Platform
Trust Account Required: 
Deal Value: $40,850
Initial Launch Date: 2021-08-06


KYC Survey:
Deal Owner: Jake Shatz
Initial Launch Date: 2021-08-06
Onboarding Contact: Melissa Aulenback
First time using Avesdo? No
Competitors, CRMs, other software being used? N/A
Current process outside Avesdo? N/A
Major problems we're solving? N/A
What does success mean for the client? N/A
Additional comments: Disclosure has been filed ",,Released,Released,06-Aug-21,,86
Little Mountain Building AA,Elton Paul,,Holborn,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $23,800.00
Province: British Columbia
# of Homes: 119
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2026-08-07
Sales/Marketing Company: 

Contact Details
Onboarding Contact: Dominic Ng
Onboarding Contact Email: 

Set-Up Details
Credit Cards? No
EFT Deposits? Yes
Leads? No
Worksheets? No
If using Worksheets, when does the client want to start using this feature? 
Sales Grid? Yes
Realtor Portal? Yes
CRM/Lead Ingestion: Blackline 
API/Reporting Requirements: Yes

Notes
Other Special Customer-Related Notes: This is an estimated launch date, please discuss with Steve before reaching out to the client",,Not started,Not started,07-Aug-26,,119
Portside | Anthem Properties,,,,,,Released,Released,09-Apr-21,,170
Graywood Developments Ltd. - Maison Wellesley,Jason Hudym,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $34,856.25
Province: Ontario
# of Homes: 165
Deal Owner: Sandor Segal
Account Manager: Malinka
Initial Launch Date: 2023-09-29
Development Proposal Stage: 
Sales/Marketing Company: Unknown

Contact Details
Onboarding Contact: Kaleigh, Jill, Heather
First time using Avesdo? No
Customer Type: Developer
Is onboarding contact new to Avesdo? No - Existing customer (familiar with full platform)

Set-Up Details
Trust Account Required: No
Selling in phases? no
Unit Breakout: high rise
Project Set-Up: Grid view (Condo Tower)
Setting up Leads? Yes
Setting up Worksheets? Yes
If using Worksheets, when does the client want to start using this feature? TBD
Setting up Sales Grid? Yes
Setting up Contracts? Yes
Setting up Closings? Yes
CRM/Lead Ingestion: n/a
API/Reporting Requirements: v2 api
Related Projects/Relevant Info: 

Client Goals/Other Information
Competitors, CRMs, other software being used? n/a
Why Buy/Challenges we are solving: n/a
What is client's goal from Avesdo? successful worksheets through to contract workflow
Why Avesdo? n/a
Red Flags/Risks/Potential Roadblocks: 

Test Site set up during Pre-Sales?:

**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: ",,Released,Released,20-Oct-23,,165
Circadian Group & MLA - Florin,Roell Pereira,,,"Product Type: Avesdo TMS Platform
Trust Account Required: No
Deal Value: $44,750
Initial Launch Date: 2022-05-01
Province: British Columbia


KYC Survey:
Deal Owner: Jake Shatz
# of Homes: 179
Initial Launch Date: 2022-05-01
Onboarding Contact: Jamey Castle
First time using Avesdo? Yes
Competitors, CRMs, other software being used? N/A
Current process outside Avesdo? N/A
Major problems we're solving? N/A
What does success mean for the client? N/A
Additional comments: This developer has never used Avesdo, but MLA will still be the main point of contact.",,Released,Released,09-Aug-22,,179
Epic Real Estate -  Sokano by Kerkhoff,Roell Pereira,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $79,560
Province: British Columbia
# of Homes: 234
Deal Owner: Sammy Wong
Initial Launch Date: 2023-06-19
Development Proposal Stage: Ready to launch. Marketing started
Sales/Marketing Company: Fifth Ave

Contact Details
Onboarding Contact: Christina Toews
First time using Avesdo? No
Customer Type: Sales/Marketing Company
Is onboarding contact new to Avesdo? No - Existing customer (familiar with full platform)

Set-Up Details
Trust Account Required: No
Selling in phases? Yes.  2 phases, 2 sites. Phase 1 first -- 96 units
Unit Breakout: Ph1 -96 units          Ph2 -    138 units
Project Set-Up: Grid view (Condo Tower)
Setting up Leads? No
Setting up Worksheets? No
If using Worksheets, when does the client want to start using this feature? Not using 
Setting up Sales Grid? Yes
Setting up Contracts? Yes
Setting up Closings? Yes
CRM/Lead Ingestion: Lasso
API/Reporting Requirements: No
Related Projects/Relevant Info: 

Client Goals/Other Information
Competitors, CRMs, other software being used? Lasso for CRM
Why Buy/Challenges we are solving: System consistency 
What is client's goal from Avesdo? simplify and a familiar process
Why Avesdo? familiar process
Red Flags/Risks/Potential Roadblocks: Christina is very green in setting up Avesdo- needs more couching and verification of her replies

Test Site set up during Pre-Sales?:
No
**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: ",,Released,Released,23-Jun-23,,234
1515 Rupert,,,,"Product Type: Avesdo TMS Platform
Trust Account Required: 
Deal Value: $18,200
Initial Launch Date: 2021-10-01


KYC Survey:
Deal Owner: Steve Curtis
Initial Launch Date: 2021-10-01
Onboarding Contact: Ashley Casali
First time using Avesdo? Yes
Competitors, CRMs, other software being used? None that I know of
Current process outside Avesdo? Not sure
Major problems we're solving? Putting their sales process online
What does success mean for the client? Seamless sales process
Additional comments: There was a site created years ago for this project but never used, hopefully it can be used again and just updated with the new information.

",,Released,Released,12-May-22,,26
Rennie - Forum,Roell Pereira,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: 
Province: British Columbia
# of Homes: 35
Deal Owner: Sandor Segal
Account Manager: Malinka
Initial Launch Date: 2023-10-01
Development Proposal Stage: 
Sales/Marketing Company: Rennie Marketing

Contact Details
Onboarding Contact: katerina wong
First time using Avesdo? No
Customer Type: Sales/Marketing Company
Is onboarding contact new to Avesdo? No - Existing customer (familiar with full platform)

Set-Up Details
Trust Account Required: No
Selling in phases? no
Unit Breakout: high rise
Project Set-Up: Grid view (Condo Tower)
Setting up Leads? No
Setting up Worksheets? No
If using Worksheets, when does the client want to start using this feature? n/a
Setting up Sales Grid? No
Setting up Contracts? Yes
Setting up Closings? Yes
CRM/Lead Ingestion: salesforce
API/Reporting Requirements: salesforce
Related Projects/Relevant Info: 

Client Goals/Other Information
Competitors, CRMs, other software being used? salesforce
Why Buy/Challenges we are solving: salesforce integration
What is client's goal from Avesdo? salesforce integration
Why Avesdo? salesforce integration
Red Flags/Risks/Potential Roadblocks: 

Test Site set up during Pre-Sales?:

**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: ",,Released,Released,21-Nov-23,,35
Rennie - BridgeCity,Roell Pereira,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: 
Deal Value: 
Province: British Columbia
# of Homes: 219
Deal Owner: Malinka Ruminski
Account Manager: Malinka
Initial Launch Date: 2024-06-01
Development Proposal Stage: 
Sales/Marketing Company: Rennie Marketing

Contact Details
Onboarding Contact: Katerina Wong
First time using Avesdo? 
Customer Type: 
Is onboarding contact new to Avesdo? No - Existing customer (familiar with full platform)

Set-Up Details
Trust Account Required: 
Selling in phases? 
Unit Breakout: 
Project Set-Up: 
Setting up Leads? 
Setting up Worksheets? 
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? 
Setting up Contracts? 
Setting up Closings? 
CRM/Lead Ingestion: 
API/Reporting Requirements: 
Related Projects/Relevant Info: 

Client Goals/Other Information
Competitors, CRMs, other software being used? 
Why Buy/Challenges we are solving: 
What is client's goal from Avesdo? 
Why Avesdo? 
Red Flags/Risks/Potential Roadblocks: 

Test Site set up during Pre-Sales?:

**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: ",,Released,Released,04-Jul-24,,219
Anthem Properties Group - Billy Ph 1,Roell Pereira,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $0
Province: Alberta
# of Homes: 65
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2023-10-06
Development Proposal Stage: 
Sales/Marketing Company: In-House

Contact Details
Onboarding Contact: Not sure, request came into Roell. Either Rachael or Angela.
First time using Avesdo? No
Customer Type: Developer
Is onboarding contact new to Avesdo? No - Existing customer (familiar with full platform)

Set-Up Details
Trust Account Required: No
Selling in phases? no
Unit Breakout: Townhomes
Project Set-Up: Grid view (Townhomes)
Setting up Leads? No
Setting up Worksheets? No
If using Worksheets, when does the client want to start using this feature? N/A
Setting up Sales Grid? No
Setting up Contracts? Yes
Setting up Closings? No
CRM/Lead Ingestion: Hubspot
API/Reporting Requirements: Yes
Related Projects/Relevant Info: 

Client Goals/Other Information
Competitors, CRMs, other software being used? Hubspot
Why Buy/Challenges we are solving: N/A
What is client's goal from Avesdo? N/A
Why Avesdo? N/A
Red Flags/Risks/Potential Roadblocks: 

Test Site set up during Pre-Sales?:
No
**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: ",,Released,Released,01-Nov-23,,23
Marlin Spring - Joya Condos,Roell Pereira,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $96,300
Province: Ontario
# of Homes: 321
Deal Owner: Sandor Segal
Account Manager: Malinka
Initial Launch Date: 2023-10-09
Development Proposal Stage: 
Sales/Marketing Company: Unknown

Contact Details
Onboarding Contact: Mae Lazarte
First time using Avesdo? No
Customer Type: Developer
Is onboarding contact new to Avesdo? No - Existing customer (familiar with full platform)

Set-Up Details
Trust Account Required: No
Selling in phases? no
Unit Breakout: high rise
Project Set-Up: Grid view (Condo Tower)
Setting up Leads? Yes
Setting up Worksheets? Yes
If using Worksheets, when does the client want to start using this feature? Oct 2, 2023
Setting up Sales Grid? No
Setting up Contracts? Yes
Setting up Closings? Yes
CRM/Lead Ingestion: spark 
API/Reporting Requirements: api
Related Projects/Relevant Info: 

Client Goals/Other Information
Competitors, CRMs, other software being used? spark
Why Buy/Challenges we are solving: contracts, worksheets
What is client's goal from Avesdo? smooth flow, efficiency 
Why Avesdo? smooth flow, efficiency 
Red Flags/Risks/Potential Roadblocks: 

Test Site set up during Pre-Sales?:
No
**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: ",,Released,Released,09-Oct-23,,321
MLA Canada | Redbridge (Kingswood Capital),,,,"
Project Revenue: $78,750
Subscription Start Date: 
Subscription Fee: 

KYC Survey:
Initial Launch Date: 2021-04-30
Onboarding Contact: Sarah Rasheed
First time using Avesdo? No
Competitors, CRMs, other software being used? N/A
Current process outside Avesdo? Avesdo
Major problems we're solving? N/A
What does success mean for the client? N/A
Additional comments: ",,Released,Released,30-Apr-21,,315
Beedie/British Pacific - Hawksley,,,,"Product Type: Avesdo TMS Platform
Trust Account Required: No
Deal Value: $24,800.40
Initial Launch Date: 2022-04-15
Province: British Columbia


KYC Survey:
Deal Owner: Steve Curtis
# of Homes: 74
Initial Launch Date: 2022-04-15
Onboarding Contact: Roselyn Mendoza
First time using Avesdo? No
Competitors, CRMs, other software being used? They are partner with British Pacific Properties on this one, would really like BPP to have a top notch experience so I can hopefully do business with them too.
Current process outside Avesdo? Avesdo
Major problems we're solving? None
What does success mean for the client? Smooth set up, ease of use, good experience for BPP
Additional comments: Just to reinforce that we hope for a great experience for BPP.",,Released,Released,12-May-22,,74
Wesgroup - Harlin,Roell Pereira,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $100,200
Province: British Columbia
# of Homes: 334
Deal Owner: Sandor Segal
Initial Launch Date: 2023-04-22
Development Proposal Stage: 
Sales/Marketing Company: In-House

Contact Details
Onboarding Contact: Donna
First time using Avesdo? No
Customer Type: Developer
Is onboarding contact new to Avesdo? No - Existing customer (familiar with full platform)

Set-Up Details
Trust Account Required: Yes
Selling in phases? Yes
Unit Breakout: Townhomes/condo
Project Set-Up: Grid view (Combined tower/townhomes)
Setting up Leads? No
Setting up Worksheets? Yes
If using Worksheets, when does the client want to start using this feature? n/a
Setting up Sales Grid? Yes
Setting up Contracts? Yes
Setting up Closings? Yes
CRM/Lead Ingestion: Lasso
API/Reporting Requirements: Yes
Related Projects/Relevant Info: 

Client Goals/Other Information
Competitors, CRMs, other software being used? n/a
Why Buy/Challenges we are solving: n/a
What is client's goal from Avesdo? n/a
Why Avesdo? MSA
Red Flags/Risks/Potential Roadblocks: 

Test Site set up during Pre-Sales?:

**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: ",,Released,Released,23-Jun-23,,334
Field & Fort | Altos Frontline ,,,,,,Released,Released,09-Mar-20,,
ML Emporio - Azure Grove,Jason Hudym,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: 
Deal Value: $81,900.00
Province: British Columbia
# of Homes: 273
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2024-04-20
Development Proposal Stage: 
Sales/Marketing Company: 

Contact Details
Onboarding Contact: Alex Holme 
First time using Avesdo? 
Customer Type: 
Is onboarding contact new to Avesdo? No - Existing customer (familiar with full platform)

Set-Up Details
Trust Account Required: 
Selling in phases? 
Unit Breakout: 
Project Set-Up: 
Setting up Leads? 
Setting up Worksheets? 
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? 
Setting up Contracts? 
Setting up Closings? 
CRM/Lead Ingestion: 
API/Reporting Requirements: 
Related Projects/Relevant Info: 

Client Goals/Other Information
Competitors, CRMs, other software being used? 
Why Buy/Challenges we are solving: 
What is client's goal from Avesdo? 
Why Avesdo? 
Red Flags/Risks/Potential Roadblocks: 

Test Site set up during Pre-Sales?:

**CS** - REFER TO HUBSPOT DEAL NOTES FOR SET UP SPECIFICS.

Notes
Other Special Customer-Related Notes: ",,Released,Released,12-Apr-24,,273
Anthem Properties Group - Form,Roell Pereira,,,"Product Type: Avesdo TMS Platform
Trust Account Required: No
Deal Value: $7,650
Initial Launch Date: 2022-04-29
Province: British Columbia


KYC Survey:
Deal Owner: Steve Curtis
# of Homes: 51
Initial Launch Date: 2022-04-29
Onboarding Contact: Faustina
First time using Avesdo? No
Competitors, CRMs, other software being used? None
Current process outside Avesdo? Avesdo
Major problems we're solving? None
What does success mean for the client? Smooth project set up like we had for Nuvo
Additional comments: They are looking file disclosure on the 29th of April so I put that for the site due date. If we can have it earlier, that's always better. Thanks!",,Released,Released,06-May-22,,51
Tangerine Developments/Breakside - Culmena,Rashi Gupta,,,"KNOW YOUR CLIENT (KYC)/WHAT'S IMPORTANT NOW (WIN)

General Project Details
Product Type: Avesdo TMS Platform
Deal Value: $32,100.00
Province: British Columbia
# of Homes: 107
Deal Owner: Steve Curtis
Account Manager: Sales Advisor (Sammy, Steve, Sandor, Patrick)
Initial Launch Date: 2024-11-01
Sales/Marketing Company: Breakside

Contact Details
Onboarding Contact: Amy Rebodos
Onboarding Contact Email: 

Set-Up Details
Credit Cards? No
Avesdo Deposits? Yes
Project Set-Up: 
Setting up Leads? No
Setting up Worksheets? TBD
If using Worksheets, when does the client want to start using this feature? 
Setting up Sales Grid? Yes
CRM/Lead Ingestion: Probably Spark
API/Reporting Requirements: None

Notes
Other Special Customer-Related Notes: ",,Released,Released,23-Jan-25,,107
